show_id,director_name
s2,Jorge Michel Grau
s3,Gilbert Chan
s4,Shane Acker
s5,Robert Luketic
s6,Serdar Akar
s7,Yasir Al Yasiri
s8,Kevin Reynolds
s9,Shravan Kumar
s10,Vikram Bhatt
s11,Zak Hilditch
s13,Diego Enrique Osorno
s14,Nottapon Boonprakob
s15,John Suits
s16,Kunle Afolayan
s18,Paul Greengrass
s19,Swapnaneel Jayakar
s21,Onir
s22,Vijay Milton
s23,Santwana Bardoloi
s24,Atanu Ghosh
s26,Lyric R. Cabral
s26,David Felix Sutcliffe
s28,Cho Il
s29,Sabina Fedeli
s29,Anna Migotto
s31,Michael Margolis
s32,Rako Prijanto
s33,Rako Prijanto
s34,Fernando Lebrija
s35,Michael Kennedy
s36,Robert McCullough Jr.
s37,Cristina Jacob
s38,Cristina Jacob
s40,Frank Ariza
s41,Muharrem Gülmez
s42,Óskar Thór Axelsson
s43,Ozan Açıktan
s44,Kenneth Gyang
s45,Karyn Kusama
s47,Adam Deyoe
s48,Leif Tilden
s49,Adze Ugah
s50,Nicolas Brossette
s51,Roland Emmerich
s55,Marcel Barrena
s57,Melinda Janko
s58,Jastis Arimba
s60,Shrihari Sathe
s61,Sam Upton
s63,Victor Zarcoff
s66,Daniel Stamm
s67,Ava DuVernay
s69,Daniel Lee
s70,Scott Hussion
s70,Seth Fuller
s71,Adam Davis
s71,Jerry Kolber
s71,Trey Nelson
s71,Erich Sturm
s72,Richard Donner
s73,Burr Steers
s74,Francesco Amato
s75,Salvador Calvo
s76,David Marmor
s77,Raymond Wood
s78,Ramzy Bedia
s78,Éric Judor
s79,Abhishek Varman
s80,Morgan Neville
s83,Hasraf Dulull
s84,Mike Mills
s85,Jon Lucas
s85,Scott Moore
s89,Joey Curtis
s90,Brian Smrz
s91,Simranjit Singh Hundal
s92,Geun-hyun Cho
s93,Nicanor Loreti
s94,Simon Napier-Bell
s95,Betty Thomas
s97,McG
s98,Nagesh Kukunoor
s99,Gaby Dellal
s100,Iman Brotoseno
s101,Rajkumar Hirani
s102,Shazia Javed
s103,Sinan Akkuş
s104,Hani Hamdi
s105,Ruben Fleischer
s106,Maciej Dejczer
s107,Barbara Białowąs
s107,Tomasz Mandes
s108,Hikari
s110,Victor Gatonye
s111,Jack C. Newell
s114,Marco Deufemia
s114,Justin G. Dyck
s115,Gerardo Olivares
s116,Andrew Nackman
s117,Ishaya Bako
s118,Anggy Umbara
s119,Richard Loncraine
s120,Marco Risi
s121,Victor Levin
s122,Peter Segal
s123,Jonathan Levine
s124,Rizal Mantovani
s125,Matei Dima
s126,Marja Lewis Ryan
s127,Toa Fraser
s128,Michael Bay
s129,Hannah Fidell
s130,Bharat Jain
s132,Trent Haaga
s133,Nizar Shafi
s134,Roger Gual
s136,Meenu Gaur
s136,Farjad Nabi
s137,Vishal Bhardwaj
s144,Anita Udeep
s145,Steve Gukas
s146,Clay Glen
s147,Everardo González
s148,Rachel Talalay
s149,Jon Lucas
s149,Scott Moore
s150,Andrew Lau Wai-Keung
s151,Padmakumar Narasimhamurthy
s152,John Asher
s154,Richard Attenborough
s155,Shaun Paul Piccinino
s156,David de Vos
s157,Umut Kirca
s158,Kevin Ko
s158,Peter Tsi
s160,Alex Zamm
s161,John Schultz
s162,John Schultz
s163,Thomas Astruc
s164,Mark Rosman
s165,Michelle Johnston
s166,Stanley Kubrick
s167,Stephen Gyllenhaal
s168,Savage Steve Holland
s169,Tyler Perry
s170,Tom Fassaert
s171,Mark Williams
s172,Robbie Countryman
s173,Remo D'Souza
s174,Bille August
s175,David Wain
s176,David Lowery
s177,Roman Coppola
s178,Stanley Moore
s178,Alex Woo
s179,Alex Woo
s179,Stanley Moore
s180,Stanley Moore
s180,Alex Woo
s182,Richard Mears
s183,Erik Nelson
s184,Michael Tiddes
s185,Teo Konuralp
s186,Thomas Stuber
s187,Jim Fall
s188,Herman Yau
s190,Coodie
s190,Chike
s191,Andy Goddard
s193,Yeo Siew Hua
s194,Chris Bell
s195,Francisco Macri
s196,Steven Bognar
s196,Julia Reichert
s197,Alan Rickman
s201,Sophia Nahli Allison
s202,Maryo J. De los Reyes
s204,Thomas Sorriaux
s205,Ahmad El-Badri
s206,J.A. Bayona
s207,J.C. Chandor
s208,Christopher S. Rech
s208,Brandon Kimber
s210,Otoja Abit
s211,John Fortenberry
s212,Joram Lürsen
s213,Michael Lennox
s215,Nicole Conn
s216,Kees Van Oostrum
s218,Michael Damian
s219,Carla Barros
s220,Marina Seresesky
s221,Henry Sarwer-Foner
s222,Ishaan Trivedi
s223,Cathy Garcia-Molina
s224,Chris Bolan
s225,Asghar Farhadi
s227,Ethan Coen
s227,Joel Coen
s228,Richard Phelan
s228,Will Becher
s229,Naoko Yamada
s230,Tom Ford
s231,Diego Lerman
s232,Maria Burton
s233,Larry Elikann
s234,Evan Spiridellis
s234,Jeff Gill
s235,Chung Mong-hong
s237,Natalie Portman
s238,Trisha Ziff
s239,Martin Lawrence
s241,Brian Robbins
s243,Eddie Rosas
s244,Robert O. Peters
s245,Ravishankar Venkateswaran
s246,Álvaro Brechner
s247,Justin G. Dyck
s248,Sofia Coppola
s250,Cathy Garcia-Molina
s251,Adam Shankman
s252,Neeraj Pandey
s253,Gregory Caruso
s254,Junichi Sato
s254,Tomotaka Shibayama
s255,Justin G. Dyck
s256,Ava DuVernay
s258,K. Rajagopal
s261,Kazuya Murata
s262,Rusty Nixon
s263,Oliver Daly
s264,Ömer Faruk Sorak
s265,Midhun Manuel Thomas
s266,Indrajit Nattoji
s267,Chandrakant Kulkarni
s268,Rajiv Mehra
s269,V C Abhilash
s270,Raj Kumar Gupta
s271,Satish Rajwade
s272,Prakash Jha
s273,Nagesh Kukunoor
s274,Umesh Mehra
s275,Uttung Shelar
s276,Ravi Babu
s277,Kyran Kelly
s278,Atanu Ghosh
s279,Remo D'Souza
s280,Remo D'Souza
s282,Skye Borgman
s283,Hashim Nadeem Khan
s284,A. L. Vijay
