show_id,genre_name
s1,International TV Shows
s1,TV Dramas
s1,TV Sci-Fi & Fantasy
s2,Dramas
s2,International Movies
s3,Horror Movies
s3,International Movies
s4,Action & Adventure
s4,Independent Movies
s4,Sci-Fi & Fantasy
s5,Dramas
s6,International TV Shows
s6,TV Dramas
s6,TV Mysteries
s7,Horror Movies
s7,International Movies
s8,Dramas
s9,Horror Movies
s9,International Movies
s10,Horror Movies
s10,International Movies
s10,Thrillers
s11,Dramas
s11,Thrillers
s12,Crime TV Shows
s12,International TV Shows
s12,TV Dramas
s13,Crime TV Shows
s13,Docuseries
s13,International TV Shows
s14,Documentaries
s14,International Movies
s14,Sports Movies
s15,Independent Movies
s15,Sci-Fi & Fantasy
s15,Thrillers
s16,Dramas
s16,International Movies
s16,Thrillers
s17,International TV Shows
s17,TV Dramas
s18,Dramas
s18,Thrillers
s19,Comedies
s19,Dramas
s19,Independent Movies
s20,Sports Movies
s21,Dramas
s21,Independent Movies
s21,International Movies
s22,Action & Adventure
s22,Dramas
s22,International Movies
s23,Dramas
s23,International Movies
s24,Dramas
s24,International Movies
s25,Anime Series
s25,International TV Shows
s26,Documentaries
s27,Reality TV
s28,Horror Movies
s28,International Movies
s28,Thrillers
s29,Documentaries
s29,International Movies
s30,TV Comedies
s31,Documentaries
s31,International Movies
s32,Dramas
s32,International Movies
s32,Romantic Movies
s33,Dramas
s33,International Movies
s33,Romantic Movies
s34,Comedies
s35,Comedies
s35,Romantic Movies
s36,Documentaries
s36,Sports Movies
s37,Comedies
s37,Dramas
s37,International Movies
s38,Comedies
s38,Dramas
s38,International Movies
s39,International TV Shows
s39,Romantic TV Shows
s39,TV Comedies
s40,Comedies
s40,International Movies
s41,Comedies
s41,International Movies
s42,Horror Movies
s42,International Movies
s43,Comedies
s43,International Movies
s44,Dramas
s44,International Movies
s45,Action & Adventure
s45,Sci-Fi & Fantasy
s46,Crime TV Shows
s46,International TV Shows
s46,TV Dramas
s47,Dramas
s47,Romantic Movies
s48,Dramas
s48,Romantic Movies
s48,Sports Movies
s49,Comedies
s49,International Movies
s49,Romantic Movies
s50,Comedies
s50,Dramas
s50,International Movies
s51,Action & Adventure
s52,International TV Shows
s52,Romantic TV Shows
s52,TV Dramas
s53,Documentaries
s53,International Movies
s54,Docuseries
s54,Science & Nature TV
s55,Dramas
s55,International Movies
s55,Sports Movies
s56,Movies
s57,Documentaries
s58,Dramas
s58,International Movies
s59,British TV Shows
s59,International TV Shows
s59,Reality TV
s60,Dramas
s60,International Movies
s61,Dramas
s61,Independent Movies
s61,Sports Movies
s62,International TV Shows
s62,Korean TV Shows
s62,Romantic TV Shows
s63,Horror Movies
s63,Independent Movies
s63,Thrillers
s64,Crime TV Shows
s64,TV Dramas
s64,TV Mysteries
s65,Crime TV Shows
s65,Docuseries
s66,Horror Movies
s66,Thrillers
s67,Documentaries
s68,Movies
s69,Action & Adventure
s69,International Movies
s70,Horror Movies
s70,Thrillers
s71,Documentaries
s72,Action & Adventure
s73,Comedies
s74,Dramas
s74,Independent Movies
s74,International Movies
s75,Dramas
s75,International Movies
s76,Horror Movies
s76,Independent Movies
s76,Thrillers
s77,Horror Movies
s77,Independent Movies
s78,Comedies
s78,International Movies
s79,Comedies
s79,Dramas
s79,International Movies
s80,Documentaries
s80,Music & Musicals
s81,Crime TV Shows
s81,International TV Shows
s81,TV Dramas
s82,International Movies
s82,Music & Musicals
s83,Sci-Fi & Fantasy
s84,Dramas
s84,Independent Movies
s85,Comedies
s86,British TV Shows
s86,Reality TV
s87,International TV Shows
s87,TV Dramas
s88,Crime TV Shows
s88,International TV Shows
s88,TV Dramas
s89,Action & Adventure
s89,Independent Movies
s89,Sci-Fi & Fantasy
s90,Action & Adventure
s91,Action & Adventure
s91,Dramas
s91,International Movies
s92,Dramas
s92,International Movies
s92,Thrillers
s93,Action & Adventure
s93,Comedies
s93,International Movies
s94,Documentaries
s95,Comedies
s95,Dramas
s96,International TV Shows
s96,Korean TV Shows
s96,Romantic TV Shows
s97,Action & Adventure
s98,Dramas
s98,International Movies
s98,Thrillers
s99,Dramas
s99,LGBTQ Movies
s100,Dramas
s100,International Movies
s100,Sports Movies
s101,Comedies
s101,Dramas
s101,International Movies
s102,Documentaries
s102,Faith & Spirituality
s103,Comedies
s103,International Movies
s104,Comedies
s104,International Movies
s105,Action & Adventure
s105,Comedies
s106,Dramas
s106,International Movies
s107,Dramas
s107,International Movies
s107,Romantic Movies
s108,Dramas
s108,International Movies
s109,Kids' TV
s109,TV Action & Adventure
s109,TV Sci-Fi & Fantasy
s110,International Movies
s110,Thrillers
s111,Documentaries
s112,Kids' TV
s113,International TV Shows
s113,Romantic TV Shows
s113,Spanish-Language TV Shows
s114,Children & Family Movies
s114,Comedies
s115,Comedies
s115,Dramas
s115,Independent Movies
s116,Comedies
s116,LGBTQ Movies
s117,Dramas
s117,International Movies
s117,Thrillers
s118,Action & Adventure
s118,Comedies
s118,International Movies
s119,Comedies
s119,Dramas
s119,Independent Movies
s120,Comedies
s120,International Movies
s121,Comedies
s121,Dramas
s121,Romantic Movies
s122,Comedies
s122,Romantic Movies
s123,Comedies
s123,Dramas
s123,Independent Movies
s124,Dramas
s124,International Movies
s125,Comedies
s125,International Movies
s126,Dramas
s126,Independent Movies
s127,Action & Adventure
s127,Dramas
s127,International Movies
s128,Action & Adventure
s128,Dramas
s129,Dramas
s129,Independent Movies
s129,Romantic Movies
s130,Horror Movies
s130,International Movies
s130,Thrillers
s131,Reality TV
s132,Comedies
s132,Independent Movies
s132,Thrillers
s133,TV Shows
s134,Dramas
s134,International Movies
s135,Docuseries
s136,Comedies
s136,International Movies
s136,Music & Musicals
s137,Dramas
s137,International Movies
s137,Thrillers
s138,Docuseries
s138,International TV Shows
s138,Science & Nature TV
s139,Docuseries
s139,International TV Shows
s139,Science & Nature TV
s140,Docuseries
s140,International TV Shows
s140,Science & Nature TV
s141,Docuseries
s141,International TV Shows
s141,Science & Nature TV
s142,Anime Series
s142,International TV Shows
s143,British TV Shows
s143,Docuseries
s143,Science & Nature TV
s144,Comedies
s144,International Movies
s144,Music & Musicals
s145,Dramas
s145,International Movies
s145,Thrillers
s146,Children & Family Movies
s146,Dramas
s146,Sports Movies
s147,Documentaries
s147,International Movies
s148,Children & Family Movies
s149,Comedies
s150,Dramas
s150,International Movies
s150,Romantic Movies
s151,Dramas
s151,Independent Movies
s151,International Movies
s152,Dramas
s152,Sci-Fi & Fantasy
s153,International TV Shows
s153,TV Comedies
s153,TV Dramas
s154,Action & Adventure
s154,Classic Movies
s154,Dramas
s155,Comedies
s155,Romantic Movies
s156,Children & Family Movies
s156,Dramas
s157,Comedies
s157,International Movies
s157,Romantic Movies
s158,Action & Adventure
s158,International Movies
s158,Romantic Movies
s159,Dramas
s159,Romantic Movies
s160,Children & Family Movies
s160,Dramas
s160,Romantic Movies
s161,Children & Family Movies
s161,Dramas
s161,Romantic Movies
s162,Children & Family Movies
s162,Dramas
s162,Romantic Movies
s163,Movies
s164,Children & Family Movies
s164,Comedies
s165,Children & Family Movies
s165,Comedies
s165,Music & Musicals
s166,Classic Movies
s166,Cult Movies
s166,Dramas
s167,Dramas
s167,Romantic Movies
s168,Children & Family Movies
s168,Comedies
s169,Dramas
s169,Thrillers
s170,Documentaries
s170,International Movies
s171,Dramas
s172,Movies
s173,Action & Adventure
s173,International Movies
s173,Sci-Fi & Fantasy
s174,Dramas
s174,International Movies
s175,Comedies
s176,Dramas
s176,Independent Movies
s177,Comedies
s177,Independent Movies
s178,Children & Family Movies
s179,Children & Family Movies
s180,Children & Family Movies
s181,International TV Shows
s181,Romantic TV Shows
s181,TV Dramas
s182,Documentaries
s183,Documentaries
s184,Comedies
s184,Horror Movies
s185,Horror Movies
s185,Independent Movies
s186,Dramas
s186,Independent Movies
s186,International Movies
s187,Children & Family Movies
s187,Comedies
s187,Romantic Movies
s188,Comedies
s188,International Movies
s189,International TV Shows
s189,TV Dramas
s189,TV Horror
s190,Documentaries
s190,Sports Movies
s191,Thrillers
s192,International TV Shows
s192,Korean TV Shows
s192,Romantic TV Shows
s193,Dramas
s193,International Movies
s194,Documentaries
s195,Documentaries
s195,International Movies
s195,Sports Movies
s196,TV Shows
s197,Dramas
s197,Independent Movies
s197,International Movies
s198,Stand-Up Comedy & Talk Shows
s198,TV Comedies
s199,International TV Shows
s199,Romantic TV Shows
s199,Teen TV Shows
s200,International TV Shows
s200,Romantic TV Shows
s200,TV Comedies
s201,Documentaries
s202,Dramas
s202,International Movies
s202,Romantic Movies
s203,Crime TV Shows
s203,International TV Shows
s203,Korean TV Shows
s204,Comedies
s204,International Movies
s204,Sports Movies
s205,Comedies
s205,International Movies
s206,Dramas
s206,Sci-Fi & Fantasy
s207,Dramas
s207,Thrillers
s208,Documentaries
s209,Documentaries
s209,International Movies
s210,Dramas
s210,LGBTQ Movies
s210,Romantic Movies
s211,Comedies
s211,Cult Movies
s212,Dramas
s212,International Movies
s213,Dramas
s213,Thrillers
s214,Crime TV Shows
s214,Docuseries
s214,International TV Shows
s215,Dramas
s215,Independent Movies
s215,LGBTQ Movies
s216,Dramas
s216,Independent Movies
s216,Romantic Movies
s217,Documentaries
s218,Children & Family Movies
s218,Dramas
s218,Romantic Movies
s219,International TV Shows
s219,Reality TV
s220,Comedies
s220,International Movies
s221,Stand-Up Comedy
s222,International Movies
s222,Thrillers
s223,Dramas
s223,International Movies
s223,Romantic Movies
s224,Documentaries
s224,LGBTQ Movies
s225,Dramas
s225,International Movies
s226,Kids' TV
s226,TV Action & Adventure
s226,TV Comedies
s227,Comedies
s227,Independent Movies
s228,Children & Family Movies
s228,Comedies
s229,Anime Features
s229,International Movies
s230,Dramas
s230,Independent Movies
s230,LGBTQ Movies
s231,Dramas
s231,International Movies
s231,Thrillers
s232,Dramas
s232,Independent Movies
s233,Dramas
s234,Children & Family Movies
s234,Comedies
s235,Dramas
s235,Independent Movies
s235,International Movies
s236,International TV Shows
s236,TV Dramas
s237,Dramas
s237,International Movies
s238,Documentaries
s238,International Movies
s239,Comedies
s239,Romantic Movies
s240,International TV Shows
s240,TV Dramas
s241,Comedies
s242,International TV Shows
s242,TV Dramas
s243,Children & Family Movies
s244,Comedies
s244,International Movies
s245,Children & Family Movies
s246,Dramas
s246,International Movies
s247,Music & Musicals
s247,Romantic Movies
s248,Comedies
s248,Music & Musicals
s249,International TV Shows
s249,TV Comedies
s250,International Movies
s250,Romantic Movies
s251,Dramas
s251,Romantic Movies
s252,Action & Adventure
s252,Dramas
s252,International Movies
s253,Documentaries
s254,Anime Features
s254,Children & Family Movies
s254,International Movies
s255,Children & Family Movies
s256,Children & Family Movies
s257,Docuseries
s257,International TV Shows
s257,Science & Nature TV
s258,Dramas
s258,Independent Movies
s258,International Movies
s259,British TV Shows
s259,TV Comedies
s259,TV Dramas
s260,TV Dramas
s261,Anime Series
s261,International TV Shows
s262,Horror Movies
s263,Action & Adventure
s263,Children & Family Movies
s263,Independent Movies
s264,Dramas
s264,International Movies
s264,Romantic Movies
s265,Comedies
s265,International Movies
s266,Comedies
s266,International Movies
s266,Music & Musicals
s267,Comedies
s267,Dramas
s267,International Movies
s268,Action & Adventure
s268,International Movies
s269,Dramas
s269,Independent Movies
s269,International Movies
s270,International Movies
s270,Thrillers
s271,Dramas
s271,International Movies
s271,Thrillers
s272,Dramas
s272,International Movies
s273,Dramas
s273,International Movies
s274,Dramas
s274,International Movies
s274,Music & Musicals
s275,Comedies
s275,Dramas
s275,International Movies
s276,Horror Movies
s276,International Movies
s276,Thrillers
s277,Kids' TV
s278,Comedies
s278,Dramas
s278,International Movies
s279,Dramas
s279,International Movies
s279,Music & Musicals
s280,Dramas
s280,International Movies
s281,Action & Adventure
s281,Dramas
s281,International Movies
s282,Documentaries
s283,Dramas
s283,International Movies
s284,Comedies
s284,International Movies
s284,Sci-Fi & Fantasy
s285,International TV Shows
s285,Korean TV Shows
s285,Stand-Up Comedy & Talk Shows
s286,Children & Family Movies
s286,Comedies
s287,Comedies
s287,Dramas
s287,International Movies
s288,Comedies
s288,Dramas
s288,International Movies
s289,Docuseries
s290,Docuseries
s290,Science & Nature TV
s290,TV Comedies
s291,Crime TV Shows
s291,International TV Shows
s291,Korean TV Shows
s292,Dramas
